title,partner,rating,enrollment,subject,skills,duration,level,new_career,promotion
How to Finance and Grow Your Startup – Without VC,Missing,"4.7
stars","48,816",Business,"['Venture Capital', 'Finance', 'Customer', 'Entrepreneurship']",Beginner Level,Approx. 26 hours to complete,Missing,Missing
Problem Solving with Excel,Missing,"4.7
stars","93,546",Data Science,"['Data Analysis', 'Microsoft Excel', 'Pivot Table', 'Data Cleansing']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Love as a Force for Social Justice,Stanford University,"4.7
stars","13,695",Arts and Humanities,[],Beginner Level,Approx. 32 hours to complete,Missing,Missing
"Act on Climate: Steps to Individual, Community, and Political Action",University of Michigan,"4.8
stars","6,545",Physical Science and Engineering,[],Beginner Level,Approx. 16 hours to complete,Missing,Missing
Introduction to Typography,California Institute of the Arts,"4.8
stars","69,714",Arts and Humanities,"['Creativity', 'Adobe Illustrator', 'History', 'Graphics', 'Adobe Indesign']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
The Place of Music in 21st Century Education,The University of Sydney,"4.8
stars","4,594",Arts and Humanities,[],Beginner Level,Approx. 30 hours to complete,Missing,Missing
Supply Chain Planning,Rutgers the State University of New Jersey,"4.7
stars","18,929",Business,"['Forecasting', 'Microsoft Excel', 'Planning', 'Demand Forecasting']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Introduction to Who Wrote Shakespeare,Missing,"4.6
stars","6,892",Arts and Humanities,[],Beginner Level,Approx. 15 hours to complete,Missing,Missing
Digital Thread: Implementation,Missing,"4.6
stars","3,333",Physical Science and Engineering,[],Beginner Level,Approx. 11 hours to complete,Missing,Missing
Modern Art & Ideas,The Museum of Modern Art,"4.7
stars","302,949",Arts and Humanities,"['Creativity', 'Art', 'History', 'Art History', 'Art Direction']",Beginner Level,Approx. 13 hours to complete,Missing,Missing
Renewable Energy and Green Building Entrepreneurship,Duke University,"4.7
stars","21,469",Business,"['Business Modeling', 'Renewable Energy', 'Startup Company', 'Entrepreneurship']",Beginner Level,Approx. 17 hours to complete,Missing,Missing
Meditation: A way to achieve your goals in your life,Korea Advanced Institute of Science and Technology(KAIST),"4.6
stars","35,029",Arts and Humanities,[],Beginner Level,Approx. 13 hours to complete,Missing,Missing
Missing,University of Arizona,"4.8
stars","1,824",Physical Science and Engineering,[],Beginner Level,Approx. 17 hours to complete,Missing,Missing
Russian for beginners 3. Русский язык: A1,Saint Petersburg State University,"4.8
stars",Missing,Language Learning,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Genomics for Law,University of Illinois at Urbana-Champaign,"4.8
stars","2,060",Social Sciences,[],Beginner Level,Approx. 12 hours to complete,Missing,Missing
Making Sense of the News: News Literacy Lessons for Digital Citizens,Missing,"4.8
stars","12,300",Social Sciences,"['News', 'Evaluation', 'Media Literacy', 'Journalism']",Beginner Level,Approx. 11 hours to complete,Missing,Missing
Esports Management Capstone Project,"University of California, Irvine","4.3
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Understanding Financial Markets,University of Geneva,"4.7
stars","75,654",Business,"['Bond Market', 'Interest Rate', 'Stock', 'Financial Markets']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Understanding Russians: Contexts of Intercultural Communication,National Research University Higher School of Economics,"4.5
stars","7,192",Arts and Humanities,[],Beginner Level,Approx. 34 hours to complete,Missing,Missing
"Philosophy, Science and Religion: Philosophy and Religion",The University of Edinburgh,"4.6
stars","14,405",Arts and Humanities,[],Beginner Level,Approx. 14 hours to complete,Missing,Missing
Global Health and Humanitarianism,University of Manchester   ,"4.7
stars","3,959",Social Sciences,[],Beginner Level,Approx. 11 hours to complete,Missing,Missing
Improving Communication Skills,University of Pennsylvania,"4.6
stars","60,128",Personal Development,"['goal setting', 'Communication', 'Negotiation', 'Deception']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Evidence-based Toxicology,Missing,"4.8
stars","1,831",Health,[],Beginner Level,Approx. 17 hours to complete,Missing,Missing
Cybersecurity Policy for Aviation and Internet Infrastructures,University of Colorado System,"4.7
stars","1,940",Social Sciences,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Queering Identities: LGBTQ+ Sexuality and Gender Identity,University of Colorado System,"4.9
stars","2,495",Social Sciences,[],Beginner Level,Approx. 19 hours to complete,Missing,Missing
Managing G Suite,Google Cloud,"4.7
stars","3,635",Computer Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Creating Dashboards and Storytelling with Tableau,"University of California, Davis","4.6
stars","21,599",Data Science,"['Storyboarding', 'Tableau Software', 'Data Virtualization', 'Data Visualization (DataViz)']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Infonomics I: Business Information Economics and Data Monetization,University of Illinois at Urbana-Champaign,"4.7
stars","1,647",Business,[],Beginner Level,Approx. 13 hours to complete,Missing,Missing
Creativity And Entrepreneurship,Berklee College of Music,"4.6
stars","4,975",Business,"['Rapid Prototyping', 'Hone observation skills', 'Presentation Skills', 'Teambuilding']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Traditional herbal medicine in supportive cancer care: From alternative to integrative,Technion - Israel Institute of Technology,"4.7
stars","2,460",Health,[],Beginner Level,Approx. 24 hours to complete,Missing,Missing
Fundamentals of the Chinese character writing (Part 1),Saint Petersburg State University,"4.2
stars","1,636",Arts and Humanities,[],Beginner Level,Approx. 15 hours to complete,Missing,Missing
Missing,Yonsei University,"4.5
stars","23,436",Computer Science,"['Network Protocols', 'Ip Address', 'Wireshark', 'Communications Protocol']",Beginner Level,Approx. 5 hours to complete,Missing,Missing
Introduction to Programming and Animation with Alice,Duke University,Missing,"2,771",Computer Science,[],Beginner Level,Approx. 41 hours to complete,Missing,Missing
Innovation Management,Erasmus University Rotterdam,"4.6
stars","38,425",Business,"['Social Network', 'Management', 'Innovation', 'Innovation Management']",Beginner Level,Approx. 13 hours to complete,Missing,Missing
Agile with Atlassian Jira,Atlassian,"4.7
stars","38,174",Computer Science,[],Beginner Level,Approx. 14 hours to complete,Missing,Missing
Home Networking Basics,Cisco,"4.7
stars","11,646",Information Technology,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Innovation Strategy: Developing Your Fintech strategy,Copenhagen Business School,"4.5
stars","4,623",Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,"4.7
stars","66,838",Business,"['Consumer Behaviour', 'Marketing', 'Consumer Neuroscience', 'Neuromarketing']",Beginner Level,Approx. 26 hours to complete,Missing,Missing
"Anatomy: Cardiovascular, Respiratory and Urinary Systems",University of Michigan,"4.8
stars","6,473",Health,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Chinese Culture and Contemporary China,Nanjing University,"4.6
stars","14,750",Arts and Humanities,[],Beginner Level,Approx. 4 hours to complete,Missing,Missing
Public Health in Humanitarian Crises 2,Missing,"4.9
stars",Missing,Health,"['Nutrition', 'International Law', 'Humanitarian', 'Public Health']",Beginner Level,Approx. 12 hours to complete,Missing,Missing
Introduction to Climate Change and Health,Yale University,"4.7
stars","3,160",Health,"['Health Equity', 'Infectious Diseases', 'Climate Science', 'Population Health', 'Epidemiology']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Evaluating Designs with Users,University of Michigan,"4.7
stars","3,043",Computer Science,"['User Research', 'human computer interaction', 'User Experience (UX)', 'User Experience Design (UXD)']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Russian Alphabet,Saint Petersburg State University,"4.7
stars","2,676",Language Learning,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Sales Pitch and Closing,Northwestern University,"4.7
stars","7,052",Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
International migrations: a global issue,Sciences Po,"4.6
stars","10,297",Social Sciences,[],Beginner Level,Approx. 21 hours to complete,Missing,Missing
Esports Teams and Professional Players,"University of California, Irvine","4.3
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Chimpanzee Behavior and Conservation,Duke University,"4.9
stars","3,490",Health,[],Beginner Level,Approx. 16 hours to complete,Missing,Missing
Women in environmental biology,Universitat Autònoma de Barcelona,"4.5
stars",Missing,Health,[],Beginner Level,Approx. 9 hours to complete,Missing,Missing
Collaborative Foresight: How to Game the Future,Institute for the Future,"4.8
stars",Missing,Business,"['Creativity', 'Strategic Planning', 'Future Forecasting', 'Gaming', 'Collaboration']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,"4.8
stars","9,502",Business,"['Project Management', 'Management', 'Project', 'Planning']",Beginner Level,Approx. 8 hours to complete,Missing,Missing
Introduction to Programming with MATLAB,Vanderbilt University,"4.8
stars","254,634",Computer Science,"['Computer Programming', 'Problem Solving', 'Matlab', 'Programming Language']",Beginner Level,Approx. 35 hours to complete,Missing,Missing
Introduction to Imagemaking,California Institute of the Arts,"4.5
stars","52,155",Arts and Humanities,"['Adobe Indesign', 'Art', 'Creativity', 'Graphics']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Information & Digital Literacy for University Success,The University of Sydney,"4.8
stars","7,354",Social Sciences,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Future Healthcare Payment Models,Northeastern University ,"4.5
stars",Missing,Health,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Customer-Centric IT Strategy,University of Virginia,"4.5
stars","6,577",Business,[],Beginner Level,Approx. 3 hours to complete,Missing,Missing
"Easing the burden of obesity, diabetes and cardiovascular disease",The University of Sydney,"4.5
stars","4,643",Health,[],Beginner Level,Approx. 17 hours to complete,Missing,Missing
Missing,Case Western Reserve University,"4.7
stars","6,296",Social Sciences,[],Beginner Level,Approx. 28 hours to complete,Missing,Missing
Analyzing Big Data with SQL,Cloudera,"4.9
stars","5,995",Data Science,"['Apache Hive', 'Apache Impala', 'Data Analysis', 'Big Data', 'SQL']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Missing,IBM,"4.5
stars","23,813",Information Technology,"['Information Security (INFOSEC)', 'IBM New Collar', 'Malware', 'Cybersecurity', 'Cyber Attacks']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
